Location Name,Type of Vending Machine,Person Taking Picture,Status,Directions,Issues
Sage Labs,,,Photo Not Taken Yet,2nd floor hallway,There maybe multiple ones on multiple floors so try finding all of em and labelling accordingly
"Quad
",,,Photo Not Taken Yet,,
Union,"Food,  Drink",,Photo Not Taken Yet,,
Mueller Center,"Food,  Drink",,Photo Not Taken Yet,Main floor right outside the cardio room,
Warren Hall,Drink,,Photo Not Taken Yet,,
Sharp Hall,Drink,,Photo Not Taken Yet,,
Davison Hall,"Food,  Drink",,Photo Not Taken Yet,Main floor to the left of the main entrance,
Folsom Library *Need to add to database*,"Food,  Drink",Kevin,Photo Not Taken Yet,*I can take this one its hard to explain where it is lol*,
North??? (IS there a vending machine there idk)??,,,Photo Not Taken Yet,,
,,,Photo Not Taken Yet,,
,,,Photo Not Taken Yet,,
,,,Photo Not Taken Yet,,
,,,Photo Not Taken Yet,,
,,,Photo Not Taken Yet,,
