BUILDING,HAS MACHINE?,AMOUNT ,DRINK?,FOOD?,Location Description,,,,,Photos,,,,,,Floor,Hours of Operation,,access information,,Coordinates,
Folsom Library,TRUE,2,TRUE,TRUE,4th floor,,,,,,,,,,,4,"Monday        8 AM–12 AM
Tuesday        8 AM–12 AM
Wednesday        8 AM–12 AM
Thursday        8 AM–12 AM
Friday        8 AM–8 PM
Saturday        12–8 PM
Sunday        2–10 PM
",,RPI ID ,,"42.72954131606436, -73.68250278794625",
Sharp Hall,TRUE,1,TRUE,FALSE,Basement ,,,,,,,,,,,0,open 24 hours,,RPI ID living in sharp,,"42.72711006590162, -73.67448712656643",
Rensselaer Student Union,TRUE,2,TRUE,TRUE,1st floor,,,,,https://photos.app.goo.gl/8pN5rggCFmq57LT4A,,,https://photos.app.goo.gl/iRSwrZBm98LveLyDA,,,1,7AM - Midnight Monday-Friday; 9AM - Midnight Saturday and Sunday,,RPI ID,,"42.730159761978896, -73.67663391678252",
Quadrangle Complex,TRUE,2,TRUE,FALSE,In the laundry room and Church III kitchen,,,,,,,,,,,0,open 24 hours,,RPI ID living in that half of quad,,"42.730706041764584, -73.67756264747236",
Darrin Communication Center,TRUE,2,TRUE,TRUE,2nd floor,,,,,https://photos.app.goo.gl/o3f2st6uCwGPuAm66,,,,,,2,7AM - 9PM Monday - Friday,,RPI ID,,"42.72934781129576, -73.67895862471251",
Voorhees Computing Center,TRUE,3,TRUE,TRUE,Left side room of entrance ,,,,,,,,,,,1,7AM - 11PM All week,,RPI ID,,"42.72931448709032, -73.68164350143745",
Amos Eaton Hall,TRUE,1,TRUE,FALSE,First floor,,,,,https://cdn.discordapp.com/attachments/1243380331139301427/1247625953841119352/IMG_6422.jpg?ex=66694777&is=6667f5f7&hm=31d2c1eab90bc71dd662da9d169d84a761bf2f91362479f7c9697205733e855f&,,,,,,1,7AM - 10PM Monday - Friday,,RPI ID,,"42.730287323346445, -73.68258918979996",
Mueller Center,TRUE,3,TRUE,TRUE,"first floor, near the bathroom and near the cardio room",,,,,,,,,,,1,"7AM - 11PM Monday-Thursday; 
7AM - 9PM Friday; 
9AM - 7PM Saturday;
 9AM - 11PM Sunday",,RPI ID,,"42.72891902003062, -73.67684441122128",
j Erik Jonsson Engineering Center,TRUE,2,TRUE,TRUE,3rd floor near the Engineering lounge.,,,,,,,,,,,3,6AM - 10PM All week,,RPI ID,,"42.729847677153444, -73.68020218979997",
Russell Sage Laboratory,TRUE,2,TRUE,TRUE,2nd floor near the bathrooms.,,,,,,,,,,,2,7AM - Midnight Monday - Friday,,,RPI ID,,"42.73097906477598, -73.68164141863616"
Jonsson-Rowland Science Center,TRUE,2,TRUE,TRUE,2nd Floor ,,,,,https://cdn.discordapp.com/attachments/1243380331139301427/1247627161909854369/IMG_6426_1.jpg?ex=66694897&is=6667f717&hm=9593d37ffd97bb7032321efc5242391ca11ec380a85417abe772f970aac59d8e&,https://cdn.discordapp.com/attachments/1243380331139301427/1247627163021213796/IMG_6425_1.jpg?ex=66694897&is=6667f717&hm=408c6f30132db0d0cad44b16a7e9a459246c2167c85bdecdef6bf877d98dd1c1&,,,,,2,6AM - 10PM All week,,RPI ID,,"42.72900301770575, -73.68045377630875",
Pittsburgh Building,TRUE,2,TRUE,TRUE,5th floor ,,,,,,,,,,,5,7AM - 9PM Monday - Friday,,RPI ID,,"42.73125174093247, -73.68330210329108",
Warren Hall,TRUE,1,TRUE,FALSE,"1st floor past the lounge area, on the right",,,,,,,,,,,1,open 24 hours,,RPI ID if living in ,,"42.72809422047715, -73.67536297260132",
Greene Building,TRUE,2,TRUE,TRUE,3rd Floor right side (left is Architecture Library),,,,,https://cdn.discordapp.com/attachments/1243380331139301427/1247626434613350410/IMG_6423.jpg?ex=666947e9&is=6667f669&hm=7a0cb5381497c088e834c31218c5f3b39b45d7c686782dc0bacea5edb907bc2d&,https://cdn.discordapp.com/attachments/1243380331139301427/1247627004623196220/IMG_6424_2.jpg?ex=66694871&is=6667f6f1&hm=ab1e47e0db29deaf4bdbf873da05b3d0ae4bf2bd156123bbe586a05c7b0893d3&,,,,,3,7AM - 9PM Monday - Friday,,RPI ID,,"42.73022009495838, -73.68115317445492",
Davison Hall,TRUE,1,TRUE,FALSE,Right outside main entrance,,,,,,,,,,,1,open 24 hours,,RPI ID if living in the hall,,"42.72731130298223, -73.67414636096385",
RPI Public Safety,TRUE,1,TRUE,FALSE,Main entrance,,,,,,,,,,,,24/7,,anyone,,"42.72930295751444, -73.67676008238502",
North Hall,TRUE,3,TRUE,TRUE,Entrance,,,,,,,,,,,,7AM - Midnight All week,,RPI ID,,"42.73142413669011, -73.67987080514486",
West Hall,TRUE,1,TRUE,FALSE,3rd floor front of building,,,,,,,,,,,,open 24 hours,,RPI ID if living in the hall,,"42.731807801585866, -73.68320404747236",
